Date,Game Number,Player Hand,Player Final Score," ""Dealer Hands""",Dealer Final Score,Final Result,Session W:L Record
Mon Oct 09 09:50:57 EDT 2017,Game #2,"[Eight of Spades (8), Six of Clubs (6), Ace of Hearts (11), Jack of Diamonds (10)]",25,"[Six of Diamonds (6), Five of Diamonds (5), Queen of Clubs (10)]",21,Dealer 21!,00:02
Mon Oct 09 09:51:03 EDT 2017,Game #3,"[Jack of Hearts (10), Three of Clubs (3), Four of Hearts (4)]",17,"[Three of Hearts (3), Nine of Diamonds (9), Four of Spades (4), Five of Hearts (5)]",21,Dealer 21!,00:03
Mon Oct 09 09:51:06 EDT 2017,Game #4,"[Eight of Diamonds (8), Queen of Hearts (10)]",18,"[Jack of Diamonds (10), Six of Hearts (6), Ace of Clubs (11)]",17,Player Wins!,01:03
Mon Oct 09 09:51:51 EDT 2017,Game #5,"[Three of Clubs (3), Two of Diamonds (2), Two of Diamonds (2), Three of Hearts (3), Six of Clubs (6)]",16,"[Eight of Spades (8), Seven of Clubs (7), Four of Hearts (4)]",19,5 Card Charlie!,02:03
Mon Oct 09 09:51:55 EDT 2017,Game #6,"[Five of Diamonds (5), Five of Clubs (5), Jack of Hearts (10)]",20,"[Four of Hearts (4), Queen of Spades (10), Queen of Clubs (10)]",24,Dealer Bust!,03:03
Mon Oct 09 09:52:02 EDT 2017,Game #7,"[Two of Spades (2), Ace of Hearts (11), Five of Clubs (5), Queen of Clubs (10)]",18,"[Nine of Spades (9), Two of Hearts (2), Six of Diamonds (6)]",17,Player Wins!,04:03
Mon Oct 09 09:52:05 EDT 2017,Game #8,"[Ace of Spades (11), Four of Diamonds (4), Six of Clubs (6)]",21,"[Seven of Clubs (7), Seven of Hearts (7)]",14,Player 21!,05:03
Mon Oct 09 09:52:08 EDT 2017,Game #9,"[Ten of Hearts (10), Seven of Diamonds (7), Six of Diamonds (6)]",23,"[Six of Hearts (6), Seven of Spades (7)]",13,Player Bust!,05:04
Mon Oct 09 09:52:10 EDT 2017,Game #10,"[Jack of Clubs (10), Three of Spades (3), Eight of Diamonds (8)]",21,"[Seven of Diamonds (7), Four of Diamonds (4)]",11,Player 21!,06:04
Mon Oct 09 09:52:15 EDT 2017,Game #11,"[Two of Spades (2), Seven of Spades (7), Ace of Clubs (11)]",20,"[Nine of Diamonds (9), Five of Diamonds (5), Four of Hearts (4)]",18,Player Wins!,07:04
